episodes	DQV	DDQN	DQN	Upside-Down
194	181.935483871	177.2967741935	169.0032258065	199.9979925113
195	182.2903225806	177.9451612903	169.3967741935	200
196	181.9032258065	177.8258064516	170.1161290323	200
197	182.3225806452	177.4032258065	170.7903225806	200
198	182.8387096774	177.864516129	170.9193548387	200
199	182.8387096774	177.5032258065	171.1612903226	200
200	183.7419354839	177.1806451613	170.8967741935	194.0157605641
201	183.6451612903	176.9967741935	171.2935483871	194.7189272335
202	184.3225806452	177.3516129032	171.0193548387	196.370375307
203	184.5806451613	177.5967741935	170.7193548387	198.0572019019
204	183.8709677419	176.5741935484	171.3322580645	199.190121261
205	184.0967741935	175.9032258065	171.2774193548	199.7370708691
206	184.4838709677	175.135483871	171.135483871	199.9335211048
207	184.2903225806	174.6096774194	171.5870967742	199.9869095294
208	183.9677419355	173.7451612903	171.9290322581	199.9979925113
209	184.1290322581	173.3774193548	171.9612903226	200
210	183.9677419355	173.6258064516	171.8903225806	200
211	183.7419354839	173.7548387097	171.1677419355	200
212	184.6129032258	174.2677419355	171.2483870968	200
213	184.9677419355	174.6516129032	170.8870967742	200
214	185.5483870968	174.9870967742	170.8451612903	200
215	185.8387096774	175.1258064516	171.4193548387	200
216	185.7419354839	175.5290322581	171.9258064516	200
217	185.4838709677	175.6516129032	172.1903225806	200
218	185.935483871	176.2	172.5580645161	200
219	186.1290322581	176.5580645161	172.5903225806	200
220	185.8709677419	176.7129032258	172.5322580645	200
221	185.7419354839	177.3064516129	171.9677419355	200
222	185.8064516129	178.0387096774	171.9903225806	200
223	185.5806451613	178.3806451613	172.3	200
224	185.3870967742	178.5741935484	172.4741935484	200
225	185.9032258065	178.635483871	171.9096774194	200
226	185.7419354839	178.4870967742	171.9580645161	200
227	185.8709677419	179.1193548387	172.3580645161	200
228	185.6451612903	179.5774193548	172.3548387097	200
229	185.2580645161	179.5612903226	172.3806451613	200
230	185.5483870968	180.3516129032	172.4451612903	200
231	184.9032258065	181.3935483871	173.4064516129	200
232	184.5483870968	181.8096774194	174.1903225806	200
233	184.5806451613	182.7290322581	175.3161290323	200
234	185	184.0322580645	175.8290322581	200
235	185.6129032258	185.3193548387	176.0677419355	200
236	185.5806451613	186.6193548387	176.2870967742	200
237	185.9032258065	187.6387096774	176.4709677419	200
238	186.064516129	188.3	176.3032258065	200
239	186.1612903226	188.9161290323	176.4548387097	200
240	186.2258064516	188.6516129032	176.4483870968	200
241	186.6129032258	187.2	176.8967741935	200
242	186.8709677419	186.5838709677	177.9258064516	200
