episodes,DQV,DQV-Max,DQN,DDQN,Upside-Down
1184,16.476773846,18.459520926,16.139377078,15.4423473026,-21
1185,16.3360777733,18.5136271166,16.1824818152,15.1820554445,-21
1186,16.1641860495,18.5254684758,16.2652704973,15.0920100484,-21
1187,15.9773344741,18.5002358279,16.3737012848,15.1619018786,-19
1188,15.7917070658,18.4382121933,16.4801819983,15.3242138022,-21
1189,15.6312425038,18.3393897607,16.5559090768,15.4923366468,-18
1190,15.5285635236,18.2083041194,16.580166016,15.6043029109,-21
1191,15.515022326,18.0557871052,16.5450330676,15.6465558933,-21
1192,15.603619491,17.8946138464,16.4561796261,15.6496471927,-20
1193,15.7786416445,17.7354025964,16.3314094759,15.6632747297,-20
1194,15.9994340413,17.5838249012,16.1971063065,15.7285071207,-21
1195,16.2180283958,17.4424732852,16.0819539824,15.8591398702,-21
1196,16.4004997875,17.3142899002,16.0100480304,16.0405854845,-21
1197,16.5379012101,17.2026290851,15.9971629735,16.2410977915,-20
1198,16.6422776958,17.1076405692,16.0494634961,16.4283593284,-20
1199,16.731142122,17.0227546052,16.1649391635,16.5813955681,-21
1200,16.8134687818,16.9357743073,16.3339484249,16.694093134,-20
1201,16.8867300168,16.8363355232,16.5397375025,16.7712695677,-20
1202,16.946187661,16.7242909917,16.7600010796,16.8212341235,-20
1203,16.9951919059,16.6128362684,16.9678264525,16.8498846572,-21
1204,17.0453069712,16.5234633872,17.1344779992,16.8564290766,-21
1205,17.1053713584,16.4750618447,17.2325865098,16.8329828011,-19
1206,17.1671727117,16.4738071222,17.2431757028,16.7676709778,-21
1207,17.2030254951,16.5110327932,17.1623529897,16.6530663824,-20
1208,17.1778481939,16.5675610929,17.0039695347,16.4958357992,-19
1209,17.0702924155,16.6241289396,16.7949650473,16.3207764681,-21
1210,16.8862869426,16.6717542581,16.5662826665,16.1633041146,-21
1211,16.6598773185,16.7164992635,16.3450444961,16.0533443958,-20
1212,16.4401857077,16.7741792119,16.151864675,16.0010900436,-21
1213,16.272335747,16.8581266804,16.0017737091,15.9956536611,-21
1214,16.1813740094,16.9674681058,15.9028490187,16.0162500968,-20
1215,16.1660015117,17.0860630034,15.8525355788,16.0474178557,-21
1216,16.2031606548,17.1926379477,15.8337624461,16.0871768273,-21
1217,16.2594774889,17.2758194604,15.8189291281,16.1432937864,-20
1218,16.3037146153,17.3414682683,15.7801088178,16.2216359329,-20
1219,16.3144519316,17.4090267218,15.7016331846,16.3164105711,-21
1220,16.2833403199,17.4980371577,15.5866769422,16.4103192591,-20
1221,16.2169324874,17.6139520025,15.4560804602,16.4816442294,-21
1222,16.1376517596,17.7412317253,15.3397125401,16.5141545171,-19
1223,16.0811764901,17.8475263044,15.2666333396,16.5028139155,-20
1224,16.0870732652,17.8970782224,15.2557863121,16.4526157901,-20
1225,16.182096873,17.8681986009,15.3112600839,16.3742744121,-20
1226,16.3650052851,17.7653144469,15.4218264176,16.2791227295,-21
1227,16.6011476792,17.6191176392,15.5650374159,16.1771202526,-20
1228,16.8344493637,17.4732659465,15.7158653655,16.0766308404,-21
1229,17.0098625917,17.364894851,15.8552191183,15.9837830444,-21
1230,17.0947265078,17.3103419937,15.9756230386,15.8984116472,-21
1231,17.0873926454,17.3034997869,16.0788426405,15.8095160881,-19
1232,17.0093486999,17.3249122417,16.1692706467,15.6968950103,-19
1233,16.8904568963,17.3558383978,16.2465775528,15.5427857145,-21
1234,16.7583883911,17.3875891549,16.3023305782,15.3489375274,-20
1235,16.6369544345,17.4214329273,16.322025364,15.1473134774,-19
1236,16.5476132608,17.4633133618,16.2905742135,14.9934667114,-21
1237,16.5078412686,17.5159163667,16.1984448153,14.9437701917,-21
1238,16.5246172377,17.5751676284,16.0475933388,15.028190738,-21
1239,16.5883715411,17.6306409978,15.8546518332,15.23393183,-20
1240,16.6748914411,17.6698882,15.650949672,15.5083727709,-21
1241,16.7543625296,17.6839884549,15.4766333764,15.7787243925,-20
