episodes	DQV	Dueling-DQV-1st	Dueling-DQV-2nd	Dueling-DQV-3rd
127	258.79251819043185	166.90972865273994	188.84302573101178	214.47033236783784
128	271.6832926988044	163.98998620933196	195.2254382134908	215.05278843226807
129	286.23665964661177	162.63690837287385	198.71841932063586	219.94237341791518
130	300.44705582840965	163.40030459758088	199.6132145389464	227.50994717066118
131	312.3985068832048	166.62003044428747	199.36631772012714	235.82162992561936
132	320.990737169816	172.3456549551815	199.86496100369368	243.72327448850683
133	326.15764580262976	180.3567821111393	202.4188114934229	251.36020229571815
134	328.66034585487415	190.17781213887835	207.07433053466218	259.7625390441999
135	329.6702618480783	201.01258940769546	212.56776077265465	269.8322550873293
136	330.4400161192103	211.76692304825218	217.01766475022822	281.47676519338563
137	332.149209400008	221.32934484744044	218.97801811605024	293.3860716153828
138	335.77218235918366	229.097034580355	218.2244426819227	303.68130210299773
139	341.89827435086033	235.31929561121015	215.82808859248485	310.87275893818435
140	350.5385532375223	240.9457462678107	213.4253936164195	314.6764617238845
141	361.0954120830161	246.89344955599998	212.21123159875555	316.1200459917844
142	372.574905891651	253.29694926382683	212.29142707219995	316.8831014040556
143	383.9388845442862	259.2859983459142	212.80353244777842	318.20984173275156
144	394.3908328539594	263.5219074931582	212.66279918303826	320.04051168709975
145	403.46968097067287	264.98178407779733	211.3621242467044	321.0003958077167
146	410.9695968203424	263.4713914558329	209.29405013263676	319.34045697016745
147	416.84529384830506	259.5767299105521	207.4720003255757	314.3554088957984
148	421.18646832711323	254.2881105519792	206.93814913444754	307.3570748362104
149	424.2719105961491	248.67607071194396	208.2570718548827	301.4677205537545
150	426.66629180900145	243.81277359213544	211.28836756977628	300.26058150648635
151	429.12601773494146	240.72087452270847	215.2204524584782	305.97752357363754
152	432.2796544559103	240.18525968826526	218.70605874369542	318.4633972836843
153	436.1833602435573	242.41494232727422	220.2197564305066	335.27924192111357
