training_steps	true_return_DQN	true_return_DDQN	true_return_DQV	true_return_DQV-Max	estimate_DQN	estimate_DDQN	estimate_DQV	estimate_DQV-Max
670	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.33589095258377494	5.874311558327002	0.36439730155542494	0.7137981106730178
680	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.4148616397039965	5.83771472916596	0.3719545232530683	0.811858043463435
690	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.31832563982810824	5.802342858323756	0.30438040384911	0.6670302034400404
700	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.3537412694759667	5.836948423918637	0.3148021855596453	0.6715745415972546
710	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.34031238787639884	5.82854541344113	0.2858902254216373	0.6924224389085546
720	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.43498436283972114	5.828701858071163	0.3744081981729716	0.9103736380249262
730	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.345594198846817	5.849628532456348	0.2511942617950961	0.8401226137429476
740	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.33840858378391714	5.845232015398817	0.27791420736201106	0.846128055845201
750	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.37926161728035657	5.8465308753150635	0.3089542643124238	0.8053867806214839
760	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.47860352813191714	5.792290269180869	0.26671856446377934	1.2204343808613718
770	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.41671622723769397	5.808756147573067	0.35039793583527207	0.9044813342571258
780	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.40651821536272764	5.747831365062591	0.328721837830916	0.994180509050563
790	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.39427881817761806	5.836348995348918	0.3361883882470429	0.8446310281317682
800	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.49455053307414054	5.747908078364384	0.403164654112421	1.3931682763703168
810	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.42386255210377277	5.771942137680505	0.39294317243453114	1.1112106183484196
820	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.47924095639809966	5.781626056629898	0.3228840707711875	0.9794875760689378
830	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.4258382120739669	5.819197862266856	0.2911443460859358	1.0138106924377381
840	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.4905034481767565	5.643757765411682	0.5058228843498975	1.4722916377149522
850	3.3100390186397415	5	5.822364527237535	8.384028231574082	0.4812865329913795	5.703662880892881	0.37394814221262934	1.3183643387831747
