episodes,Transfer,No-Transfer
334,-141.7692160319,-111.1919378023
335,-145.5372700554,-112.7571498615
336,-148.5568507488,-113.9654281042
337,-150.6590857337,-114.5979706011
338,-151.7866530758,-114.5853503872
339,-152.0521688604,-114.0224305189
340,-151.7139986772,-113.14029685
341,-151.1259612976,-112.2342736995
342,-150.6470686265,-111.5900937902
343,-150.5686394958,-111.4056112386
344,-151.0625495708,-111.7705434328
345,-152.1641506612,-112.6628236615
346,-153.7951806234,-113.9866336542
347,-155.7978968545,-115.6198052637
348,-157.968869148,-117.4440140813
349,-160.0726584763,-119.3722758077
350,-161.8754801824,-121.3558669714
351,-163.1585148987,-123.3641579864
352,-163.7630045455,-125.3762695249
353,-163.6274934636,-127.3737355294
354,-162.8107298009,-129.346119142
355,-161.4979262878,-131.3094276672
356,-159.9370022932,-133.3032784227
357,-158.3887073529,-135.3851363518
358,-157.0484161092,-137.5888263685
359,-156.0110576644,-139.882522992
360,-155.2386344162,-142.1246579724
361,-154.599273428,-144.0670127275
362,-153.9012359015,-145.4132801871
363,-152.9462017788,-145.9264065975
364,-151.5964726525,-145.5373252746
365,-149.8174503984,-144.4049302623
366,-147.7020067552,-142.8823968841
367,-145.4642804613,-141.4027540655
368,-143.3640416728,-140.309343356
369,-141.6399575766,-139.7228857285
370,-140.4369643592,-139.4958853134
371,-139.7763781946,-139.2667226104
372,-139.5613113659,-138.6150513965
373,-139.6605938123,-137.2161191719
374,-140.0012968237,-134.9701671746
375,-140.6555603013,-132.0311754643
376,-141.8582181848,-128.7539098709
377,-143.946074385,-125.5698170149
378,-147.2187382744,-122.8765939672
379,-151.7538376242,-120.9404519732
380,-157.2633254976,-119.8563827055
381,-163.0540961672,-119.5580159188
382,-168.1385219329,-119.8581060613
383,-171.4535271637,-120.5061731633
384,-172.1587795577,-121.259805352
385,-169.8737289128,-121.9426730802
386,-164.7971950253,-122.4730409956
387,-157.6532607016,-122.8862710744
388,-149.4922216511,-123.3076080963
389,-141.4342550458,-123.9234440486
390,-134.4210275111,-124.9271939589
391,-129.050099546,-126.4928670987
392,-125.514566195,-128.7407059318
393,-123.6586016209,-131.7756398943
394,-123.0622496783,-135.6989634448
395,-123.1961250714,-140.6157880181
396,-123.5409899065,-146.6102629435
397,-123.6831727134,-153.694163513
398,-123.3620971968,-161.7612588871
399,-122.4839533087,-170.571359781
400,-121.0911159041,-179.7948989177
401,-119.3320738317,-189.1023272519
402,-117.396721087,-198.267683631
403,-115.4723395499,-207.1762693493
404,-113.7267366941,-215.7779887552
405,-112.2795389931,-223.9354649713
406,-111.2085731598,-231.2890335568
407,-110.5562464042,-237.2214371874
408,-110.3357342404,-240.9778951241
409,-110.5439597741,-241.9060829167
410,-111.1635198627,-239.7658737608
411,-112.1664907715,-234.9122709966
412,-113.5107825059,-228.3239571519
413,-115.1456896305,-221.3804680693
414,-117.0073589132,-215.4852665899
415,-119.0150136764,-211.6378039572
416,-121.0735771627,-210.1257064532
417,-123.0749595741,-210.4475085467
418,-124.9097592174,-211.4680215301
419,-126.4663892659,-211.8104576779
420,-127.6487333494,-210.2723914538
421,-128.385293915,-206.1892996789
422,-128.6303454409,-199.5829520155
423,-128.3810678053,-191.1083285724
424,-127.6837480578,-181.8278651707
425,-126.6360053225,-172.9280247395
426,-125.382591835,-165.4251829539
427,-124.1011318796,-160.0025923207
428,-122.9695504239,-156.9084052258
429,-122.1354387209,-155.9746941922
430,-121.6868847664,-156.6756551098
431,-121.6254801033,-158.2591302049
432,-121.8743185339,-159.9110126362
433,-122.2936032326,-160.9293510805
434,-122.7208122735,-160.87865976
435,-123.0025711281,-159.6608935843
436,-123.0389451373,-157.5238187667
437,-122.7896024206,-154.9326849006
438,-122.2905738438,-152.4103717837
439,-121.6363767141,-150.3733990393
440,-120.9640838505,-148.998851935
441,-120.441399425,-148.1931384116
442,-120.2439397906,-147.6631925812
443,-120.5477698557,-147.0214791436
444,-121.4992448171,-145.9477871453
445,-123.1878158844,-144.2877802061
446,-125.5975246596,-142.0942317451
447,-128.5809594397,-139.5946281175
448,-131.8462614072,-137.1091715012
449,-135.0015577854,-134.9487029707
450,-137.6306225711,-133.3525152493
451,-139.403786589,-132.4802896172
452,-140.1726746923,-132.4208821338
453,-140.0089186271,-133.2383351846
454,-139.1752848475,-134.9744185609
455,-138.0394807826,-137.618985418
456,-136.93625918,-141.0737855429
