episodes	DQV	DQV-Max	DQN	DDQN
94	-4.2456279722210315	-7.044582352392688	-13.122362032719304	-10.510822292698245
95	-4.9153671573734865	-6.920125093430649	-14.200364442344402	-11.319955875917556
96	-5.525928641346749	-6.610328336081554	-15.166986097515547	-12.021114133432508
97	-5.978124480743766	-6.124034450882485	-15.753071777072762	-12.540624860699431
98	-6.129671504856942	-5.50591628615032	-15.779574869053011	-12.860275214929523
99	-5.844085631047853	-4.820424574076225	-15.226195216978663	-13.00093485521446
100	-5.059397776962616	-4.131260236452917	-14.231038035993631	-12.995193460899248
101	-3.835088172604001	-3.4911202221836124	-13.03133286153017	-12.846292232079321
102	-2.3462332155052743	-2.94589821429204	-11.879589403418912	-12.505399105596577
103	-0.8208158232191168	-2.5428426096972494	-10.978470397302551	-11.894994964347877
104	0.5399228275112445	-2.330155244000192	-10.442384543561735	-10.97386423962436
105	1.6158880420178199	-2.347155180698819	-10.282599573987191	-9.791979989756463
106	2.372043729466427	-2.6083456691796	-10.408732469274813	-8.500877259999204
107	2.8251231985797487	-3.0895856042737977	-10.651997514412868	-7.301258826916335
108	3.008934803354506	-3.7225742569223996	-10.815917395606641	-6.369634678675871
109	2.9627085878520183	-4.393881973591133	-10.748326509820359	-5.807875246187656
110	2.7405801297020758	-4.962291097432264	-10.40318711770917	-5.6306337528297945
111	2.4199525467915044	-5.287290261501093	-9.856791478634621	-5.783750473655982
112	2.091621892041139	-5.2692837221188285	-9.27295169729362	-6.17087828051557
113	1.8331342559601156	-4.877978451942889	-8.833289488585905	-6.672263141973145
114	1.6801514257172347	-4.1659700414450445	-8.672680547872716	-7.167481134048906
115	1.6167675352825723	-3.2559268955613074	-8.840343172006044	-7.553512792553881
116	1.5850173779335082	-2.3171181197600506	-9.293974984534492	-7.765075885789655
117	1.5118296589108358	-1.5292588554760718	-9.92109053932235	-7.783802103409686
118	1.3372396233394441	-1.0391944097811	-10.570601722824444	-7.650738372669665
119	1.0398259129348815	-0.9263190457836186	-11.093470328513094	-7.455114314400868
120	0.644962510211208	-1.1826982741654273	-11.380367453219225	-7.31359898697738
121	0.21542550187472315	-1.7197074083226547	-11.384765010221988	-7.334426208647929
122	-0.1688916135663206	-2.398309219473892	-11.125823045763862	-7.590384667476991
123	-0.4343552952316164	-3.0662609582287113	-10.66937494592931	-8.106996303342738
124	-0.5269773063855332	-3.5914640507413926	-10.103574216841462	-8.866104278120957
125	-0.4210247667831657	-3.8879977664256895	-9.516297220910205	-9.805850824853604
126	-0.12028311325358226	-3.933438681562123	-8.981233635055121	-10.814880086927321
127	0.3426454800278386	-3.772128223595399	-8.555884459284176	-11.734751610739714
128	0.9063908145611034	-3.499054284795621	-8.278532721654793	-12.390497791291796
129	1.4870011600130022	-3.2234365289912863	-8.164040518714867	-12.649024151683143
130	1.9892944039685412	-3.02723078852151	-8.192269384813413	-12.47151442419668
131	2.3253750900267827	-2.9403478090804893	-8.301398825974696	-11.918096487543977
132	2.4402161479120386	-2.9427880578616272	-8.403419592414178	-11.107440542566046
133	2.3316834426854625	-2.994777396994783	-8.423465914657617	-10.163507687387108
134	2.058696640346238	-3.0700726046068514	-8.335991793886315	-9.204561756208484
135	1.7289124438831562	-3.166932633001233	-8.170104735375919	-8.363899553342437
136	1.4680157767158326	-3.289233342788802	-7.971899818426538	-7.801507274207214
137	1.3782874156638931	-3.4158840915724293	-7.756766485681439	-7.668941453171066
138	1.505286712512592	-3.4870778068887582	-7.491450649897763	-8.033878989504244
139	1.8319838398894255	-3.4183822887829107	-7.127946964194542	-8.816210160099013
140	2.3022764933634203	-3.139568855905092	-6.665750457366191	-9.786306778728825
