epochs target_catch std_target_catch Catch_v2 Catch_v2_std Catch_v3 Catch_v3_std Catch_v4 Catch_v4_std
220 0.96778 0.003333333333333355 0.81667 0.11 0.54444 0.12 0.93444 0.01
221 0.97111 0.0022222222222222365 0.81 0.11 0.55778 0.13 0.94 0.01
222 0.96333 0.0011111111111111183 0.8 0.14 0.54667 0.14 0.94222 0.0
223 0.97222 0.0033333333333332993 0.79444 0.15 0.55778 0.15 0.93889 0.0
224 0.96667 0.0 0.79556 0.14 0.56333 0.17 0.93444 0.0
225 0.96556 0.0011111111111111183 0.80111 0.14 0.55222 0.17 0.93778 0.01
226 0.96556 0.003333333333333355 0.82333 0.12 0.55222 0.15 0.93556 0.01
227 0.97222 0.0011111111111111183 0.84222 0.1 0.55667 0.14 0.94444 0.0
228 0.97556 0.002222222222222181 0.81778 0.13 0.57444 0.12 0.95111 0.02
229 0.97667 0.0011111111111111183 0.82333 0.13 0.55 0.12 0.95667 0.01
230 0.97444 0.0011111111111110628 0.81667 0.13 0.57667 0.12 0.95667 0.0
231 0.97333 0.002222222222222181 0.81222 0.14 0.57667 0.12 0.95889 0.0
232 0.96889 0.004444444444444473 0.82222 0.13 0.58111 0.13 0.95 0.01
233 0.96667 0.004444444444444473 0.81556 0.14 0.57667 0.11 0.94333 0.01
234 0.96667 0.00666666666666671 0.80556 0.14 0.56667 0.11 0.94111 0.02
235 0.96778 0.0011111111111111183 0.79889 0.15 0.56667 0.1 0.93889 0.01
236 0.96667 0.0022222222222222365 0.79667 0.15 0.56222 0.1 0.93222 0.02
237 0.97111 0.006666666666666654 0.79556 0.15 0.54889 0.11 0.94222 0.02
238 0.96889 0.006666666666666654 0.81889 0.13 0.55333 0.1 0.94111 0.01
239 0.97556 0.0044444444444444176 0.82111 0.14 0.56111 0.1 0.93889 0.02
240 0.97222 0.0011111111111111183 0.83111 0.13 0.55333 0.1 0.93889 0.02
241 0.97556 0.0044444444444444176 0.84222 0.11 0.55778 0.09 0.93333 0.02
242 0.97222 0.0011111111111111183 0.85 0.12 0.56222 0.07 0.92889 0.02
243 0.97778 0.006666666666666654 0.86 0.1 0.57778 0.09 0.93444 0.01
244 0.97444 0.007777777777777772 0.89111 0.08 0.56889 0.11 0.93778 0.0
245 0.97889 0.005555555555555536 0.86444 0.12 0.57 0.1 0.94222 0.01
